JointMotion, 2200,-150,-310,180,0.0,0.0,0,3,0
LinearMotion, 2200,-200,-310,180,0.0,0.0,0,168.654,100 
LinearMotion, 2200,-250,-310,180,0.0,0.0,0,172.94,100 
LinearMotion, 2200,-300,-310,180,0.0,0.0,0,179.017,100 
LinearMotion, 2200,-350,-310,180,0.0,0.0,0,179.35,100 
LinearMotion, 2200,-400,-310,180,0.0,0.0,0,166.071,100 
LinearMotion, 2200,-450,-310,180,0.0,0.0,0,144.518,100 
LinearMotion, 2200,-500,-310,180,0.0,0.0,0,126.554,100 
LinearMotion, 2200,-550,-310,180,0.0,0.0,0,125.863,100 
LinearMotion, 2250,-550,-310,180,0.0,0.0,0,118.319,100 
LinearMotion, 2250,-500,-310,180,0.0,0.0,0,113.443,100 
LinearMotion, 2250,-450,-310,180,0.0,0.0,0,132.381,100 
LinearMotion, 2250,-400,-310,180,0.0,0.0,0,158.222,100 
LinearMotion, 2250,-350,-310,180,0.0,0.0,0,177.588,100 
LinearMotion, 2250,-300,-310,180,0.0,0.0,0,182.165,100 
LinearMotion, 2250,-250,-310,180,0.0,0.0,0,177.776,100 
LinearMotion, 2250,-200,-310,180,0.0,0.0,0,172.726,100 
LinearMotion, 2250,-150,-310,180,0.0,0.0,0,175.072,100 
LinearMotion, 2300,-150,-310,180,0.0,0.0,0,176.842,100 
LinearMotion, 2300,-200,-310,180,0.0,0.0,0,177.303,100 
LinearMotion, 2300,-250,-310,180,0.0,0.0,0,182.274,100 
LinearMotion, 2300,-300,-310,180,0.0,0.0,0,184.057,100 
LinearMotion, 2300,-350,-310,180,0.0,0.0,0,173.397,100 
LinearMotion, 2300,-400,-310,180,0.0,0.0,0,147.729,100 
LinearMotion, 2300,-450,-310,180,0.0,0.0,0,118.287,100 
LinearMotion, 2300,-500,-310,180,0.0,0.0,0,100.098,100 
LinearMotion, 2300,-550,-310,180,0.0,0.0,0,112.244,100 
LinearMotion, 2350,-550,-310,180,0.0,0.0,0,107.635,100 
LinearMotion, 2350,-500,-310,180,0.0,0.0,0,87.4551,100 
LinearMotion, 2350,-450,-310,180,0.0,0.0,0,102.447,100 
LinearMotion, 2350,-400,-310,180,0.0,0.0,0,134.703,100 
LinearMotion, 2350,-350,-310,180,0.0,0.0,0,166.591,100 
LinearMotion, 2350,-300,-310,180,0.0,0.0,0,184.238,100 
LinearMotion, 2350,-250,-310,180,0.0,0.0,0,186.108,100 
LinearMotion, 2350,-200,-310,180,0.0,0.0,0,182.026,100 
LinearMotion, 2350,-150,-310,180,0.0,0.0,0,179.8,100 
LinearMotion, 2400,-150,-310,180,0.0,0.0,0,183.54,100 
LinearMotion, 2400,-200,-310,180,0.0,0.0,0,186.621,100 
LinearMotion, 2400,-250,-310,180,0.0,0.0,0,188.99,100 
LinearMotion, 2400,-300,-310,180,0.0,0.0,0,182.212,100 
LinearMotion, 2400,-350,-310,180,0.0,0.0,0,156.917,100 
LinearMotion, 2400,-400,-310,180,0.0,0.0,0,119.157,100 
LinearMotion, 2400,-450,-310,180,0.0,0.0,0,85.4259,100 
LinearMotion, 2400,-500,-310,180,0.0,0.0,0,76.5138,100 
LinearMotion, 2400,-550,-310,180,0.0,0.0,0,104.527,100 
